#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
34,Zach Eflin,BAL,7,7,4.04,19,19,0,0,,113,470,113,55,51,15,21,,4,93
35,Drew Rasmussen,TBR,3,2,3.28,30,14,0,0,,91,374,80,36,33,9,24,,4,92
36,Freddy Peralta,MIL,8,6,3.58,19,19,0,0,,106,441,85,46,42,14,38,,5,118
37,Tyler Glasnow,LAD,6,4,3.25,13,13,0,0,,74,300,58,29,27,8,24,,3,87
38,Luis Castillo,SEA,8,6,3.66,19,19,0,0,,114,474,99,51,46,15,35,,5,112
39,Nick Lodolo,CIN,6,6,4.03,17,17,0,0,,92,389,87,45,41,13,27,,4,92
40,Yusei Kikuchi,LAA,7,7,4.17,19,19,0,0,,106,449,97,54,49,15,38,,5,109
41,Ranger Suárez,PHI,4,4,3.9,25,16,0,0,,99,416,94,47,43,11,31,,4,91
42,Kris Bubic,KCR,3,2,3.9,31,16,0,0,,99,424,95,47,43,11,32,,4,99
43,Zac Gallen,ARI,7,6,3.97,19,19,0,0,,109,460,103,53,48,13,35,,5,106
44,Nick Pivetta,SDP,7,6,3.79,18,18,0,0,,103,428,87,47,43,15,33,,4,114
45,Tanner Bibee,CLE,7,6,3.85,18,18,0,0,,104,433,93,48,44,14,31,,4,101
46,Zebby Matthews,MIN,2,2,3.78,23,15,0,0,,89,372,83,41,37,12,22,,4,89
47,Luis Severino,ATH,7,6,4.11,19,19,0,0,,108,464,104,54,49,14,36,,5,96
48,Chris Bassitt,TOR,7,7,4.24,19,19,0,0,,112,476,109,58,53,15,36,,5,101
49,Kodai Senga,NYM,5,4,3.66,18,18,0,0,,105,445,87,47,43,12,46,,5,111
50,Brayan Bello,BOS,6,6,4.39,17,17,0,0,,95,407,97,51,46,10,34,,4,83
51,José Soriano,LAA,6,6,4.15,17,17,0,0,,95,411,91,48,44,8,43,,5,84
52,Brady Singer,CIN,6,6,4.39,18,18,0,0,,101,430,100,54,49,14,32,,4,91
53,Brandon Woodruff,MIL,7,5,3.86,17,17,0,0,,104,430,91,49,45,15,30,,4,102
54,Clarke Schmidt,NYY,5,5,3.85,23,16,0,0,,94,402,84,44,40,13,33,,4,96
55,Michael King,SDP,6,4,3.65,14,14,0,0,,82,343,70,36,33,10,28,,4,88
56,Gavin Williams,CLE,7,6,3.81,18,18,0,0,,93,397,80,43,39,11,40,,4,99
57,Shane Bieber,CLE,3,3,3.84,17,13,0,0,,80,337,77,38,34,9,21,,3,74
58,José Berríos,TOR,7,7,4.32,20,20,0,0,,119,504,116,62,57,17,37,,5,103
59,Shane Smith,CHW,2,2,4.06,22,16,0,0,,90,393,84,45,41,11,38,,4,90
60,Lance McCullers Jr.,HOU,3,3,4,27,16,0,0,,106,453,94,52,47,14,44,,5,112
61,Taj Bradley,TBR,7,6,3.98,18,18,0,0,,98,414,88,47,43,13,34,,4,99
62,Brandon Pfaadt,ARI,4,4,4.17,25,17,0,0,,106,444,105,54,49,15,25,,4,97
63,Edward Cabrera,MIA,4,3,3.8,23,16,0,0,,93,403,81,43,39,10,43,,5,103
64,Mason Miller,ATH,2,2,2.39,40,0,19,1,,40,161,26,12,11,4,16,,2,60
65,Nick Martinez,CIN,3,3,4.29,24,16,0,0,,104,445,103,54,50,15,28,,4,88
66,Robbie Ray,SFG,7,6,3.74,18,18,0,0,,99,420,84,45,41,12,40,,5,110
67,Bailey Ober,MIN,6,6,4.19,18,18,0,0,,100,419,94,51,47,16,25,,4,94
68,David Peterson,NYM,5,4,3.89,16,16,0,0,,87,376,83,41,38,9,33,,4,83
69,Corbin Burnes,ARI,5,4,3.58,12,12,0,0,,74,306,66,32,29,8,23,,3,72
70,Jhoan Duran,MIN,2,2,2.47,41,0,16,2,,41,165,30,12,11,2,15,,2,51
71,Bryce Miller,SEA,7,6,3.83,17,17,0,0,,97,406,87,45,41,13,29,,4,91
72,Michael Wacha,KCR,6,6,4.25,17,17,0,0,,98,416,96,50,46,13,30,,4,82
73,J.T. Ginn,ATH,3,3,4.21,21,16,0,0,,97,417,95,49,45,12,34,,4,86
74,Ryan Pepiot,TBR,7,6,3.87,18,18,0,0,,95,404,84,45,41,13,32,,4,96
75,Matthew Boyd,CHC,4,4,3.93,17,17,0,0,,88,371,80,42,39,12,27,,4,90
