#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
434,Weston Wilson,PHI,19,84,75,17,3,0,3,10,11,7,25,0,3,1,8.80%,29.60%,0.182,0.276,0.22,0.29,0.402,0.692,0.301,92,748.6
435,Adam Duvall,,36,154,141,30,6,0,7,18,23,10,47,2,1,0,6.50%,30.60%,0.2,0.263,0.214,0.273,0.414,0.687,0.297,91,749.4
436,Joey Loperfido,TOR,42,182,164,35,8,1,5,21,21,13,59,3,5,1,7.40%,32.60%,0.16,0.294,0.214,0.282,0.374,0.655,0.287,87,571.2
437,Anthony Rizzo,,57,245,216,49,9,0,7,28,27,21,47,7,1,1,8.50%,19.40%,0.147,0.254,0.225,0.312,0.372,0.685,0.304,95,704.8
438,Hao-Yu Lee,DET,10,42,38,9,2,0,1,5,4,3,9,1,1,0,7.10%,22.50%,0.13,0.294,0.24,0.301,0.37,0.671,0.294,92,999
439,Jon Singleton,HOU,21,91,79,17,3,0,3,11,10,12,25,0,0,0,12.80%,27.70%,0.17,0.277,0.22,0.319,0.39,0.709,0.312,105,728.1
440,Tim Anderson,LAA,23,98,92,23,4,0,1,9,7,5,23,1,2,1,4.70%,23.70%,0.087,0.315,0.247,0.286,0.335,0.62,0.273,74,657.5
441,Daniel Schneemann,CLE,26,112,99,21,5,0,2,11,9,11,30,0,2,1,10.00%,26.60%,0.112,0.282,0.214,0.292,0.326,0.618,0.276,79,744.1
442,Bryan De La Cruz,ATL,26,112,104,26,5,0,4,13,15,7,29,0,1,0,5.80%,25.60%,0.166,0.302,0.249,0.294,0.414,0.708,0.306,94,481.5
443,Jacob Stallings,COL,75,294,261,61,13,1,5,27,23,26,67,4,1,0,8.80%,22.70%,0.119,0.291,0.233,0.311,0.352,0.662,0.295,75,470.8
444,Nick Kurtz,ATH,8,35,31,7,1,0,1,4,4,4,9,0,0,0,10.80%,25.20%,0.162,0.291,0.236,0.322,0.398,0.72,0.316,110,999
445,Sam Huff,SFG,11,45,41,9,2,0,1,4,5,3,15,0,0,0,6.50%,34.00%,0.152,0.301,0.217,0.27,0.369,0.639,0.279,79,743.7
446,Sean Bouchard,COL,40,175,154,37,8,2,5,22,17,18,47,2,4,1,10.10%,26.60%,0.18,0.309,0.241,0.325,0.422,0.747,0.325,95,743.1
447,Colby Thomas,ATH,28,119,111,24,6,1,4,13,14,5,36,2,2,1,4.20%,30.10%,0.173,0.28,0.218,0.264,0.391,0.655,0.283,87,999
448,Dylan Carlson,BAL,8,35,31,7,2,0,1,4,3,3,8,1,0,0,9.50%,22.70%,0.131,0.29,0.235,0.318,0.365,0.683,0.303,99,739.5
449,Marcelo Mayer,BOS,6,28,25,6,2,0,1,3,3,2,7,0,1,0,7.80%,25.50%,0.147,0.301,0.238,0.298,0.385,0.683,0.298,88,999
450,Andruw Monasterio,MIL,24,105,93,21,4,0,1,10,8,11,26,1,4,1,10.00%,24.60%,0.094,0.292,0.223,0.307,0.317,0.624,0.281,78,999
451,Myles Straw,TOR,16,70,63,15,3,0,0,7,4,6,13,0,3,1,8.20%,19.20%,0.063,0.288,0.231,0.295,0.295,0.59,0.265,72,999
452,Pedro León,HOU,6,28,25,6,1,0,1,3,4,2,9,1,1,0,7.10%,32.00%,0.186,0.313,0.234,0.304,0.42,0.724,0.314,106,744.8
453,Logan Driscoll,TBR,8,32,29,6,1,0,1,3,3,2,8,0,0,0,5.70%,25.90%,0.111,0.285,0.22,0.275,0.332,0.607,0.268,76,999
454,Ronny Mauricio,NYM,10,42,40,9,2,0,1,5,5,2,10,0,1,0,4.00%,23.60%,0.153,0.279,0.236,0.269,0.388,0.657,0.284,84,560.7
455,Casey Schmitt,SFG,11,49,45,11,2,0,1,5,5,3,12,0,1,0,5.40%,24.00%,0.138,0.285,0.235,0.281,0.373,0.654,0.285,83,746.3
456,Cal Stevenson,PHI,10,42,36,8,2,0,1,5,3,6,9,0,2,1,13.20%,22.40%,0.11,0.284,0.225,0.328,0.335,0.663,0.298,90,999
457,Jeferson Quero,MIL,6,26,24,5,1,0,1,2,3,2,6,0,0,0,6.40%,22.00%,0.138,0.271,0.231,0.282,0.368,0.651,0.284,81,739.3
458,Alexander Canario,NYM,6,28,25,6,1,0,1,3,4,2,9,0,0,0,7.90%,32.30%,0.217,0.28,0.221,0.286,0.439,0.725,0.311,103,745.1
459,Jair Camargo,MIN,5,19,18,4,1,0,1,2,3,1,7,0,0,0,4.80%,34.60%,0.184,0.298,0.221,0.265,0.405,0.67,0.289,88,999
460,J.C. Escarra,NYY,10,39,35,7,2,0,1,4,4,3,8,1,0,0,8.60%,19.90%,0.118,0.25,0.212,0.291,0.33,0.62,0.277,79,999
461,Tyler Locklear,SEA,23,98,86,18,4,0,3,11,10,8,30,3,1,0,8.40%,30.10%,0.146,0.279,0.209,0.295,0.355,0.65,0.289,93,703.7
462,Gage Workman,CHC,16,70,64,13,3,1,2,8,7,6,24,0,2,1,7.90%,34.90%,0.14,0.306,0.209,0.273,0.349,0.622,0.273,76,746.4
463,Max Muncy,ATH,13,56,51,11,2,0,1,5,5,4,18,1,1,0,6.70%,31.80%,0.123,0.292,0.209,0.272,0.331,0.603,0.267,76,999
464,Vidal Bruján,CHC,26,112,100,22,5,1,2,12,9,9,23,1,5,2,8.40%,20.10%,0.106,0.268,0.221,0.293,0.328,0.621,0.277,79,694.5
465,Jared Serna,MIA,23,98,90,20,5,0,2,8,9,6,22,1,2,1,5.70%,22.20%,0.126,0.27,0.225,0.276,0.35,0.626,0.275,72,999
466,James Outman,LAD,3,14,12,3,1,0,1,2,2,1,4,0,0,0,10.10%,31.40%,0.19,0.301,0.226,0.317,0.416,0.733,0.32,107,695
467,Shay Whitcomb,HOU,6,28,26,6,1,0,1,3,3,2,8,0,1,0,5.90%,29.00%,0.172,0.279,0.225,0.277,0.398,0.674,0.292,91,660
468,Kevin Alcántara,CHC,11,49,45,11,2,0,1,5,5,3,14,0,1,0,6.90%,29.30%,0.144,0.31,0.235,0.289,0.379,0.667,0.291,88,685.1
469,DJ Stewart,PIT,8,35,30,7,1,0,1,4,4,4,9,1,0,0,12.20%,26.90%,0.17,0.273,0.219,0.33,0.39,0.719,0.319,102,999
470,Jose Herrera,ARI,19,77,68,15,3,0,1,8,5,7,17,0,0,0,9.10%,22.10%,0.08,0.284,0.222,0.296,0.302,0.598,0.269,69,750.9
471,Luis Guillorme,HOU,8,35,31,7,1,0,0,4,2,4,7,0,0,0,11.00%,18.60%,0.082,0.285,0.233,0.32,0.315,0.634,0.287,87,999
472,Zach Dezenzo,HOU,5,21,19,5,1,0,1,2,3,2,6,0,0,0,7.20%,29.40%,0.172,0.318,0.244,0.303,0.416,0.72,0.312,105,521.3
473,Hunter Feduccia,LAD,5,19,17,4,1,0,0,2,2,2,5,0,0,0,10.80%,25.30%,0.114,0.276,0.214,0.3,0.328,0.628,0.281,81,999
474,Jimmy Crooks,STL,3,13,11,3,1,0,0,1,1,1,3,0,0,0,8.30%,25.10%,0.126,0.306,0.239,0.31,0.365,0.675,0.298,92,999
475,Marco Luciano,SFG,15,63,56,12,2,0,2,7,6,7,19,0,0,0,10.30%,30.80%,0.141,0.299,0.219,0.301,0.359,0.661,0.292,88,703.3
476,Blaze Alexander,ARI,29,126,113,26,5,1,3,14,12,9,38,3,1,0,7.20%,30.30%,0.135,0.317,0.229,0.299,0.364,0.663,0.292,85,745.7
477,Luke Maile,KCR,5,19,17,4,1,0,0,2,2,2,5,0,0,0,8.30%,27.40%,0.114,0.296,0.221,0.299,0.335,0.634,0.283,79,999
478,Miguel Sanó,,10,42,38,8,2,0,2,5,6,4,15,0,0,0,9.00%,35.10%,0.205,0.3,0.221,0.298,0.426,0.723,0.313,102,999
479,Buddy Kennedy,PHI,10,42,37,8,2,0,1,5,3,4,9,1,0,0,10.30%,22.50%,0.107,0.281,0.224,0.311,0.331,0.642,0.288,83,999
480,Robbie Grossman,,28,119,102,23,5,0,2,13,10,15,28,1,1,0,12.30%,23.10%,0.119,0.281,0.223,0.324,0.342,0.666,0.299,93,999
481,Jonatan Clase,TOR,8,35,31,7,1,0,1,4,3,3,11,0,3,1,8.80%,30.30%,0.138,0.285,0.21,0.282,0.348,0.63,0.278,80,655.9
