Rank,Name,Position,MLB Team,Unique score,,,
207,Tai Peete,CF,KC,6.92,,,
208,Victor Hurtado,CF,,6.89,,,
209,Yanquiel Fernandez,RF,PIT,6.83,,,
210,Andrew Morris,SP,SD,6.81,,,
211,Bryce Cunningham,SP,TOR,6.81,,,
212,Boston Bateman,SP,TB,6.81,,,
213,Yoeilin Cespedes,SS,STL,6.80,,,
214,Payton Martin,SP,TEX,6.79,,,
215,Cayden Wallace,3B,MIA,6.78,,,
216,Hunter Barco,SP,PIT,6.78,,,
217,Ruben Santana,1B,,6.77,,,
218,Trevor Martin,SP,MIA,6.77,,,
219,Benny Montgomery,CF,MIL,6.74,,,
220,Eduardo Beltre,RF,TEX,6.74,,,
221,Jeremy Rodriguez,SS,BAL,6.72,,,
222,Brandon Birdsell,SP,HOU,6.72,,,
223,Dylan Dreiling,LF,LAD,6.71,,,
224,Drew Gilbert,CF,COL,6.69,,,
225,Drake Baldwin,C,TB,6.68,,,
226,Yasser Mercedes,CF,CLE,6.68,,,
227,Elijah Green,CF,PHI,6.67,,,
228,Yandel Ricardo,SS,,6.66,,,
229,Walker Martin,SS,TOR,6.64,,,
230,Malcolm Moore,C,STL,6.63,,,
231,Alejandro Osuna,CF,WSH,6.63,,,
232,Daylen Lile,LF,MIL,6.60,,,
233,Jurrangelo Cijntje,SP,TB,6.60,,,
234,Matt Canterino,SP,,6.56,,,
235,JD Dix,SS,KC,6.54,,,
236,Drew Beam,SP,MIN,6.53,,,
237,C.J. Kayfus,1B,PHI,6.52,,,
238,Echedry Vargas,SS,STL,6.52,,,
239,Ryan Forcucci,SP,LAA,6.50,,,
240,Juan Valera,SP,,6.49,,,
241,Agustin Ramirez,C,MIL,6.47,,,
242,Alan Roden,RF,KC,6.46,,,
243,Brett Wichrowski,SP,ARI,6.46,,,
244,C.J. Culpepper,SP,OAK,6.45,,,
245,Ben Hess,SP,COL,6.43,,,
246,Jose Corniell,SP,DET,6.41,,,
247,Sheng-En Lin,SP,CHC,6.41,,,
248,Paulino Santana,CF,DET,6.39,,,
249,Edward Lantigua,RF,BAL,6.36,,,
250,Yordany De Los Santos,SS,PHI,6.36,,,
251,Jefferson Rojas,SS,PHI,6.35,,,
252,Dorian Soto,SS,SF,6.35,,,
253,Casey Saucke,RF,,6.34,,,
254,Zac Veen,LF,PIT,6.34,,,
255,Rayner Arias,RF,PIT,6.33,,,
256,Sal Stewart,2B,HOU,6.28,,,
257,Tekoah Roby,SP,BAL,6.27,,,
258,Angel Cepeda,SS,CHC,6.25,,,
259,Tytus Cissell,SS,OAK,6.25,,,
260,Jimmy Crooks,C,SF,6.23,,,
261,Luis Merejo,1B,TB,6.21,,,
262,Jonathan Santucci,SP,MIA,6.20,,,
263,Jeter Martinez,SP,CWS,6.20,,,
264,Nick Morabito,CF,MIL,6.19,,,
265,Jack Perkins,SP,TB,6.17,,,
266,Kyle DeBarge,SS,OAK,6.17,,,
267,Ashly Andujar,SS,BAL,6.16,,,
268,Kendry Rojas,SP,OAK,6.15,,,
269,Logan Henderson,SP,KC,6.14,,,
270,Yu-Min Lin,SP,PHI,6.13,,,
271,Joswa Lugo,SS,TEX,6.13,,,
272,Dakota Jordan,RF,CLE,6.11,,,
273,Dylan Lesko,SP,ATL,6.10,,,
274,Johnny King,SP,MIA,6.08,,,
275,Cooper Hjerpe,SP,CLE,6.08,,,
276,Hyun-Seok Jang,SP,CLE,6.07,,,
277,Jhonny Severino,3B,COL,6.06,,,
278,Josue Briceno,C,LAA,6.06,,,
279,Yoniel Curet,SP,NYY,6.05,,,
280,Yoniel Curet,SP,,6.05,,,
281,Ryan Waldschmidt,LF,SF,6.05,,,
282,Max Anderson,2B,NYY,6.04,,,
283,Chase Davis,LF,KC,6.04,,,
284,Nick Frasso,SP,MIL,6.04,,,
285,Luis De Leon,SP,NYY,6.02,,,
286,Brody Brecht,SP,MIL,6.01,,,
287,Gino Groover,3B,ATL,6.01,,,
288,Gavin Cross,RF,LAA,5.99,,,
289,Franyerber Montilla,2B,MIA,5.98,,,
290,Nazzan Zanetello,SS,NYY,5.96,,,
291,Miguel Ullola,SP,SD,5.95,,,
292,Carter Jensen,C,TB,5.95,,,
293,Jakob Marsee,CF,CLE,5.94,,,
294,Brody Hopkins,SP,ATL,5.94,,,
295,Joe Whitman,SP,ARI,5.94,,,
296,Cooper Kinney,2B,MIA,5.91,,,
297,Luis Baez,RF,BOS,5.88,,,
298,Andry Lara,SP,SD,5.88,,,
299,Leanardo Arias,SS,CHC,5.85,,,
300,Chase Mobley,SP,NYM,5.85,,,
301,Carson Benge,CF,ARI,5.84,,,
302,Boston Baro,SS,,5.80,,,
303,Boston Baro,SS,NYM,5.80,,,
304,Carter Johnson,SS,CIN,5.78,,,
305,Kale Fountain,3B,STL,5.73,,,
306,Anderson Brito,SP,SF,5.73,,,
307,Luke Adams,3B,COL,5.69,,,
308,Reggie Crawford,SP,TEX,5.68,,,
309,Keiner Delgado,2B,LAA,5.63,,,
310,Keeler Morfe,SP,KC,5.59,,,
311,Brian Holiday,SP,BOS,5.57,,,
312,Grant Wolfram,SP,TEX,5.57,,,
313,Tyson Neighbors,SP,BOS,5.57,,,
314,Cameron Sullivan,SP,LAD,5.57,,,
315,Koyo Aoyagi,SP,,5.57,,,
316,George Wolkow,CF,LAD,5.56,,,
317,Anthony Solometo,SP,MIL,5.54,,,
318,Caleb Lomavita,C,ARI,5.51,,,
319,Conrad Cason,SP,SF,5.50,,,
320,Zach Ehrhard,RF,,5.50,,,
321,David Sandlin,SP,OAK,5.47,,,
322,Tyler Callihan,2B,TEX,5.42,,,
323,Cobb Hightower,SS,LAD,5.41,,,
324,Noah Cameron,SP,BOS,5.40,,,
325,Diego Tornes,CF,CWS,5.38,,,
326,Brendan Tunink,SS,BOS,5.36,,,
327,Aron Estrada,2B,ATL,5.32,,,
328,Chen-Wei Lin,SP,SD,5.30,,,
329,John Gil,SS,CLE,5.28,,,
330,Dylan Ray,SP,,5.28,,,
331,Ryan Clifford,RF,COL,5.23,,,
332,A.J. Vukovich,3B,COL,5.23,,,
