#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2510,Juan Morillo,ARI,0,1,1,0,0,0,0,0,1,1,0,1,1,7.4,5.29,1.4,0.91,0.255,1.55,0.303,68.90%,4.78,4.76,999
2511,Francisco Morales,,0,1,1,0,0,0,0,0,1,1,0,1,1,10.31,6.9,1.49,1,0.234,1.74,0.297,75.60%,4.46,4.82,999
2512,Morgan McSweeney,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.1,4.31,1.65,1.19,0.248,1.45,0.281,69.80%,4.66,4.89,999
2513,Kevin Graham,ARI,0,1,1,0,0,0,0,0,1,1,0,1,0,8.24,4.12,2,1.44,0.261,1.63,0.296,74.30%,4.81,4.95,999
2514,Brock Moore,SEA,0,1,1,0,0,0,0,0,1,0,0,1,1,9.54,4.86,1.96,1.46,0.231,1.56,0.269,77.60%,4.33,4.95,999
2515,Ryan Hennen,,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.27,3.46,2.1,1.35,0.255,1.39,0.287,69.10%,4.74,4.79,999
2516,Jarryd Dale,,0,1,1,0,0,0,0,0,1,1,0,1,0,8.23,3.98,2.07,1.58,0.252,1.58,0.281,75.40%,4.73,5.11,999
2517,Andy Thomas,SDP,0,1,1,0,0,0,0,0,1,1,0,1,0,7.34,3.82,1.92,1.35,0.261,1.51,0.293,70.90%,4.86,4.91,999
2518,Keagan Gillies,BAL,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.88,4.46,1.77,1.27,0.242,1.4,0.28,68.60%,4.73,4.89,999
2519,Cristian Hernandez,NYY,0,1,1.2,0,0,0,0,0,2,1,0,1,1,6.81,3.52,1.93,1.39,0.247,1.35,0.271,68.70%,4.7,4.98,999
2520,Connor Oliver,PIT,1,1,3.1,0,0,0,0,0,4,2,0,2,2,5.23,4.32,1.21,1.35,0.28,1.57,0.297,64.40%,5.73,5.55,999
2521,Tyler Zombro,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.85,3.75,2.09,1.57,0.25,1.48,0.277,73.10%,4.75,5.09,999
2522,Davis Sharpe,CLE,0,1,1.2,0,0,0,0,0,2,1,0,1,1,6.49,3.31,1.96,1.28,0.257,1.38,0.282,68.50%,4.71,4.82,999
2523,Bryce Osmond,LAA,1,1,4.1,0,0,0,0,0,4,3,1,3,2,5.97,4.49,1.33,1.51,0.266,1.55,0.283,66.10%,5.6,5.67,999
2524,Kyle Hill,SEA,0,1,1,0,0,0,0,0,1,0,0,1,1,8.35,4.8,1.74,1.3,0.231,1.42,0.267,72.10%,4.48,4.94,999
2525,Blane Abeyta,ATL,1,1,4.1,0,0,0,0,0,5,3,1,2,2,4.4,3.55,1.24,1.5,0.275,1.49,0.279,64.40%,5.61,5.68,999
2526,Eric Stout,,0,1,1.2,0,0,0,0,0,2,1,0,2,1,9.73,4.93,1.97,1.28,0.217,1.43,0.261,76.70%,4,4.66,999
2527,Vince Velasquez,CLE,0,11,11,1,1,0,0,1,10,5,2,10,4,8.34,3.42,2.44,1.3,0.241,1.31,0.282,70.60%,4.34,4.47,999
2528,C.J. Hinojosa,,0,1,0.2,0,0,0,0,0,1,0,0,1,0,12.24,5.86,2.09,2.09,0.252,2.23,0.288,87.30%,4.68,5.65,999
2529,Leandro Lopez,,1,1,3,0,0,0,0,0,3,2,0,3,2,7.35,5.84,1.26,1.36,0.255,1.64,0.287,68.70%,5.44,5.62,999
2530,Victor Garcia,LAA,1,1,2.1,0,0,0,0,0,2,1,0,1,1,5.41,4.37,1.24,1.56,0.272,1.54,0.284,64.20%,5.83,5.82,999
2531,Elison Joseph,ATL,0,1,1.1,0,0,0,0,0,1,1,0,1,1,9.38,5.71,1.64,1.16,0.229,1.5,0.282,72.00%,4.54,4.83,999
2532,Adam Leverett,SEA,1,1,3.2,0,0,0,0,0,4,2,1,2,1,4.38,3.52,1.24,1.3,0.282,1.46,0.292,62.00%,5.62,5.38,999
2533,Jace Peterson,,0,1,1,0,0,0,0,0,1,1,0,1,1,10.52,4.83,2.18,1.64,0.246,1.77,0.288,80.70%,4.51,4.98,999
2534,Wilkel Hernandez,DET,1,1,4,0,0,0,0,0,4,2,1,2,2,5.21,4.12,1.27,1.34,0.265,1.46,0.28,64.40%,5.4,5.46,999
2535,Franmil Reyes,,0,1,1,0,0,0,0,0,1,1,0,1,1,11.26,5.51,2.04,1.74,0.25,2,0.291,83.50%,4.58,5.22,999
2536,Sam Weatherly,COL,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.25,4.31,1.68,1.41,0.265,1.44,0.302,62.40%,5.58,5.18,999
