#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
506,Mickey Gasper,MIN,17,30,27,6,1,0,1,3,3,3,5,1,0,0,9.20%,17.40%,0.122,0.281,0.243,0.324,0.364,0.688,0.305,99,999
507,Tyler Wade,SDP,42,126,113,24,4,0,1,14,6,9,30,1,8,1,7.00%,24.20%,0.065,0.285,0.214,0.276,0.279,0.555,0.25,61,750
508,Garrett Stubbs,PHI,25,88,79,16,3,0,1,8,6,7,23,1,2,0,8.20%,25.70%,0.081,0.264,0.198,0.272,0.279,0.551,0.249,57,999
509,Mike Brosseau,SDP,7,28,25,6,1,0,1,3,3,2,7,0,0,0,6.60%,25.80%,0.125,0.279,0.221,0.285,0.346,0.631,0.279,81,999
510,Brady House,WSN,13,54,50,11,2,0,1,5,6,3,15,1,0,0,4.70%,28.60%,0.127,0.3,0.229,0.273,0.355,0.629,0.275,75,999
511,Nicky Lopez,CHC,17,62,55,13,2,0,0,6,4,5,10,1,2,1,8.00%,15.90%,0.053,0.285,0.237,0.305,0.29,0.594,0.268,73,747.5
512,Jacob Hurtubise,CIN,9,31,27,6,1,0,0,4,2,3,7,1,1,0,8.70%,21.30%,0.087,0.303,0.24,0.324,0.327,0.652,0.293,80,999
513,Everson Pereira,NYY,10,41,38,8,2,0,1,5,4,3,13,0,1,0,6.40%,32.70%,0.144,0.309,0.222,0.279,0.366,0.645,0.282,82,750.8
514,Reese McGuire,CHC,9,33,30,6,1,0,0,3,2,2,9,0,0,0,6.70%,26.50%,0.082,0.275,0.205,0.266,0.287,0.553,0.248,59,999
515,David Bote,LAD,6,13,12,3,1,0,0,2,2,1,3,0,0,0,6.50%,25.10%,0.151,0.28,0.229,0.288,0.379,0.667,0.292,88,749.7
516,Petey Halpin,CLE,6,26,24,5,1,0,1,3,2,2,7,0,0,0,6.70%,26.00%,0.121,0.29,0.225,0.28,0.346,0.627,0.275,79,999
517,Carlos Pérez,CHC,10,27,25,5,1,0,1,2,3,2,6,0,0,0,6.20%,21.40%,0.13,0.232,0.203,0.261,0.333,0.595,0.262,68,999
518,J.D. Davis,LAA,37,142,127,29,5,0,4,15,15,12,43,2,0,0,8.80%,30.30%,0.141,0.304,0.226,0.304,0.367,0.67,0.297,91,739
519,DaShawn Keirsey Jr.,MIN,22,76,70,16,3,0,1,8,6,5,20,1,3,0,6.00%,26.80%,0.105,0.297,0.225,0.278,0.33,0.608,0.268,73,999
520,Jakson Reetz,NYM,3,10,9,2,0,0,0,1,1,1,3,0,0,0,7.00%,28.10%,0.139,0.256,0.2,0.272,0.339,0.612,0.27,75,999
521,Osleivis Basabe,SFG,6,22,21,5,1,0,0,2,2,1,4,0,0,0,4.50%,17.70%,0.093,0.302,0.254,0.292,0.348,0.64,0.281,81,999
522,Kyren Paris,LAA,19,49,44,9,2,0,1,5,4,4,16,0,2,0,8.50%,33.30%,0.119,0.299,0.205,0.28,0.325,0.605,0.27,72,999
523,Jorbit Vivas,NYY,4,17,16,4,1,0,0,2,1,1,3,0,0,0,7.50%,16.40%,0.108,0.262,0.228,0.3,0.337,0.637,0.283,83,999
524,Liover Peguero,PIT,13,51,48,11,2,0,1,5,4,3,14,0,1,0,5.40%,26.40%,0.109,0.301,0.229,0.275,0.338,0.613,0.269,68,750.8
525,Akil Baddoo,DET,11,31,27,6,1,0,1,4,3,3,9,0,1,0,9.80%,27.70%,0.149,0.275,0.213,0.293,0.362,0.655,0.288,87,999
526,Luis Guillorme,HOU,27,88,78,17,3,0,0,8,6,8,17,0,1,0,9.40%,18.90%,0.06,0.272,0.221,0.297,0.281,0.578,0.261,69,999
527,Joe Mack,MIA,4,16,14,3,1,0,0,1,2,1,4,0,0,0,7.70%,27.50%,0.135,0.281,0.219,0.285,0.353,0.638,0.28,75,999
528,Diego A. Castillo,,6,14,12,3,1,0,0,1,1,1,3,0,0,0,7.90%,18.50%,0.127,0.269,0.234,0.298,0.361,0.659,0.29,88,999
529,Ryan Kreidler,DET,10,26,24,5,1,0,1,3,2,2,8,0,1,0,7.70%,31.30%,0.114,0.267,0.193,0.264,0.308,0.572,0.255,65,999
530,Harry Ford,SEA,3,7,6,1,0,0,0,1,1,1,2,0,0,0,9.70%,24.80%,0.117,0.278,0.217,0.303,0.335,0.638,0.285,91,999
531,Luke Williams,ATL,21,58,53,12,2,0,1,7,5,4,16,0,3,1,6.50%,27.70%,0.116,0.286,0.217,0.272,0.333,0.605,0.266,68,999
532,Eli White,ATL,10,28,25,6,1,0,1,3,2,2,8,0,1,0,6.90%,28.70%,0.121,0.308,0.229,0.29,0.35,0.64,0.283,79,999
533,Grae Kessinger,ARI,21,53,48,10,2,0,1,5,5,4,14,0,1,0,7.40%,26.10%,0.116,0.274,0.214,0.278,0.33,0.608,0.269,69,999
534,Kevin Pillar,TEX,15,56,52,12,2,0,2,6,6,3,13,1,1,0,5.00%,22.60%,0.151,0.268,0.227,0.278,0.378,0.656,0.285,85,750.2
535,Grant McCray,SFG,33,124,113,24,5,1,3,14,10,9,43,1,5,1,7.30%,34.40%,0.125,0.313,0.212,0.276,0.337,0.613,0.271,74,743.3
536,Yonathan Perlaza,SDP,4,16,15,3,1,0,0,2,2,1,4,0,0,0,7.80%,26.40%,0.136,0.28,0.219,0.284,0.355,0.638,0.28,82,999
