#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1639,Oscar Hernandez,683427,683427,sa3010155,8978,,KC,C,C,Hernandez,Oscar,Hernandez,Oscar
1640,Jairo Iriarte,683568,683568,26907,11913,*060q2*,CHW,RP,RP,Iriarte,Jairo,Iriarte,Jairo
1641,Edgardo Henriquez,683618,683618,26944,12186,*05w7z*,LAD,RP,RP,Henriquez,Edgardo,Henriquez,Edgardo
1642,Anthony Molina,683627,683627,26952,12003,*06879*,COL,RP,RP,Molina,Anthony,Molina,Anthony
1643,Royber Salinas,683690,683690,sa3009243,11927,*05wy3*,ATL,SP,SP,Salinas,Royber,Salinas,Royber
1644,Andrew Vaughn,683734,683734,26197,10788,*04si2*,CHW,1B,1B,Vaughn,Andrew,Vaughn,Andrew
1645,Michael Busch,683737,683737,26319,11048,*04t9b*,CHC,1B,1B,Busch,Michael,Busch,Michael
1646,Victor Mesa Jr.,683748,683748,sa3010700,10840,*04y79*,MIA,OF,OF,Mesa Jr.,Victor,Mesa Jr.,Victor
1647,Matt Canterino,683764,683764,sa3011530,11134,*0511v*,MIN,RP,RP,Canterino,Matt,Canterino,Matt
1648,Hunter Gaddis,683769,683769,25636,11528,*05143*,CLE,RP,RP,Gaddis,Hunter,Gaddis,Hunter
1649,Travis Bazzana,683953,683953,sa3025129,12216,*05zde*,CLE,2B,2B,Bazzana,Travis,Bazzana,Travis
1650,Shota Imanaga,684007,684007,33829,11884,*05ge9*,CHC,SP,SP,Imanaga,Shota,Imanaga,Shota
1651,Yariel Rodriguez,684320,684320,33838,11916,*06at1*,TOR,SP,SP,Rodriguez,Yariel,Rodríguez,Yariel
1652,Craig Yoho,684974,684974,sa3023032,12225,*06fzq*,MIL,RP,RP,Yoho,Craig,Yoho,Craig
1653,Anthony Veneziano,685107,685107,27453,11870,*0517a*,MIA,RP,RP,Veneziano,Anthony,Veneziano,Anthony
