#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1,Adam Ottavino,493603,1247,1247,7037,*01sgi*,BOS,RP,RP,Ottavino,Adam,Ottavino,Adam
2,Matt Moore,519043,1890,1890,8029,*01fug*,BOS,RP,RP,Moore,Matt,Moore,Matt
3,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton
4,David Peralta,444482,2136,2136,8801,*03d1m*,FA,OF,OF,Peralta,David,,
5,Carlos Santana,467793,2396,2396,7514,*01cfr*,CLE,1B,1B,Santana,Carlos,Santana,Carlos
6,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory
7,Lance Lynn,458681,2520,2520,7766,*01s94*,FA,SP,SP,Lynn,Lance,,
8,Tommy Pham,502054,2967,2967,8919,*025fx*,PIT,OF,OF,Pham,Tommy,Pham,Tommy
9,Kenley Jansen,445276,3096,3096,7931,*01svz*,LAA,RP,RP,Jansen,Kenley,Jansen,Kenley
10,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max
11,T.J. McFarland,519008,3237,3237,8445,*02nho*,ATH,RP,RP,McFarland,T.J.,McFarland,T.J.
12,Anthony Rizzo,519203,3473,3473,8018,*01sea*,FA,1B,1B,Rizzo,Anthony,,
13,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam
14,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin
15,Charlie Morton,450203,4676,4676,6918,*005jn*,BAL,SP,SP,Morton,Charlie,Morton,Charlie
16,Jason Heyward,518792,4940,4940,7112,*01c5o*,SD,OF,OF,Heyward,Jason,Heyward,Jason
17,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,DH,DH,Stanton,Giancarlo,Stanton,Giancarlo
18,Fernando Abad,472551,4994,4994,7932,,COL,RP,RP,Abad,Fernando,,
19,Jake Diekman,518617,5003,5003,8282,*02iya*,ATL,RP,RP,Diekman,Jake,Diekman,Jake
20,Anthony Gose,543238,5097,5097,7938,*01sha*,NYM,RP,RP,Gose,Anthony,Gose,Anthony
21,Justin Turner,457759,5235,5235,7742,*01lum*,CHC,1B,1B/3B,Turner,Justin,Turner,Justin
22,Robbie Grossman,543257,5254,5254,8471,*01seb*,FA,OF,OF,Grossman,Robbie,,
23,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy
24,Aaron Hicks,543305,5297,5297,7535,*01cgr*,FA,OF,OF,Hicks,Aaron,,
25,Brandon Crawford,543063,5343,5343,8076,*01sdl*,FA,SS,SS/3B,Crawford,Brandon,,
26,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie
27,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose
28,Jesse Chavez,445926,5448,5448,6704,*013ip*,TEX,RP,RP,Chavez,Jesse,Chavez,Jesse
29,Abraham Almonte,501659,5486,5486,8591,,NYM,OF,OF,Almonte,Abraham,,
30,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle
31,Ryan Brasier,518489,5615,5615,8481,*021jb*,CHC,RP,RP,Brasier,Ryan,Brasier,Ryan
32,Avisail Garcia,541645,5760,5760,8378,*01urw*,FA,OF,OF,Garcia,Avisail,,
33,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B,1B,Flores,Wilmer,Flores,Wilmer
34,Leury Garcia,544725,5913,5913,8440,,ATL,2B,2B/SS/ 3B/OF,Garcia,Leury,Garcia,Leury
35,J.D. Martinez,502110,6184,6184,8122,*02334*,FA,DH,DH,Martinez,J.D.,,
36,Alex Cobb,502171,6562,6562,8058,*01seh*,DET,SP,SP,Cobb,Alex,Cobb,Alex
37,Carlos Carrasco,471911,6632,6632,7183,*01as6*,NYY,SP,SP,Carrasco,Carlos,Carrasco,Carlos
38,Craig Kimbrel,518886,6655,6655,7760,*01scl*,FA,RP,RP,Kimbrel,Craig,,
39,Alex Colome,517008,6661,6661,8505,,CHW,RP,RP,Colome,Alex,,
40,Julio Teheran,527054,6797,6797,7404,*01cih*,NYM,SP,SP,Teheran,Julio,,
41,Martin Maldonado,455117,6887,6887,8159,*021t6*,SD,C,C,Maldonado,Martin,Maldonado,Martín
42,Chase Anderson,502624,6895,6895,8781,*026k6*,TEX,RP,RP,Anderson,Chase,,
43,Martin Perez,527048,6902,6902,7791,*01fhm*,CHW,SP,SP,Perez,Martin,Pérez,Martín
44,Luis Garcia,472610,6984,6984,8542,*0321h*,LAD,RP,RP,Garcia,Luis,García,Luis
45,Ryan Pressly,519151,7005,7005,8452,*02zif*,CHC,RP,RP,Pressly,Ryan,Pressly,Ryan
46,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador
47,Evan Scribner,519267,7525,,8055,,TB,RP,RP,Scribner,Evan,Scribner,Evan
48,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis
49,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,SS,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel
50,Hunter Strickland,519326,7836,7836,8890,*01ses*,TEX,RP,RP,Strickland,Hunter,Strickland,Hunter
51,Will Smith,519293,8048,8048,8297,*01skh*,FA,RP,RP,Smith,Will,,
52,Matt Carpenter,572761,8090,8090,8083,*021at*,FA,DH,1B,Carpenter,Matt,,
53,Bryan Shaw,543766,8110,8110,8090,*01uay*,CIN,RP,RP,Shaw,Bryan,Shaw,Bryan
54,David Robertson,502085,8241,8241,7384,*005m0*,FA,RP,RP,Robertson,David,,
55,Ehire Adrianza,501303,8418,8418,8606,*01t3l*,FA,2B,2B/SS,Adrianza,Ehire,,
56,Donovan Solano,456781,8623,8623,8294,*01te5*,SEA,1B/3B,1B/3B,Solano,Donovan,Solano,Donovan
57,Justin Verlander,434378,8700,8700,5420,*000dp*,SF,SP,SP,Verlander,Justin,Verlander,Justin
58,Wade Miley,489119,8779,8779,8137,*01sev*,CIN,SP,SP,Miley,Wade,Miley,Wade
59,Kirby Yates,489446,9073,9073,8808,*030vs*,LAD,RP,RP,Yates,Kirby,Yates,Kirby
60,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan
61,Casey Kelly,543391,9174,9174,8028,,ARI,RP,RP,Kelly,Casey,Kelly,Casey
62,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul
63,Starling Marte,516782,9241,9241,7736,*01s9k*,NYM,OF,OF,Marte,Starling,Marte,Starling
64,Patrick Corbin,571578,9323,9323,8272,*01xfr*,FA,SP,SP,Corbin,Patrick,,
65,Zac Rosscup,573127,9419,9419,8608,,COL,RP,RP,Rosscup,Zac,,
66,Dan Straily,573185,9460,9460,8356,,CHC,SP,SP,Straily,Dan,,
67,Yan Gomes,543228,9627,9627,8290,*024o9*,FA,C,C,Gomes,Yan,,
68,Joe Kelly,523260,9761,9761,8316,*01sve*,FA,RP,RP,Kelly,Joe,,
69,Christian Vazquez,543877,9774,9774,8843,*029us*,MIN,C,C,Vazquez,Christian,Vázquez,Christian
70,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan
71,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,PIT,DH,DH,McCutchen,Andrew,McCutchen,Andrew
72,DJ LeMahieu,518934,9874,9874,8079,*01sfi*,NYY,1B/3B,1B/3B,LeMahieu,DJ,LeMahieu,DJ
73,Trayce Thompson,572204,9952,9952,9116,*01sb1*,BOS,OF,OF,Thompson,Trayce,Thompson,Trayce
74,Christian Bethancourt,542194,10028,10028,8615,*01sci*,TOR,C,C,Bethancourt,Christian,Bethancourt,Christian
75,Chris Owings,572008,10030,10030,8611,*01s8o*,LAD,SS,2B/SS,Owings,Chris,Owings,Chris
76,Tyler Matzek,554431,10058,10058,7675,*01iz0*,NYY,RP,RP,Matzek,Tyler,Matzek,Tyler
77,Max Stassi,545358,10059,10059,8582,*01sc7*,SF,C,C,Stassi,Max,Stassi,Max
78,Kyle Gibson,502043,10123,10123,8026,*01fha*,FA,SP,SP,Gibson,Kyle,,
79,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike
80,Shelby Miller,571946,10197,10197,7683,*01sbv*,ARI,RP,RP,Miller,Shelby,Miller,Shelby
81,Billy Hamilton,571740,10199,10199,8229,,FA,OF,OF,Hamilton,Billy,,
82,Tucker Barnhart,571466,10200,10200,8747,*022vw*,TEX,C,C,Barnhart,Tucker,Barnhart,Tucker
83,Jose Iglesias,578428,10231,10231,7867,*01s98*,SD,2B/3B,2B/SS/ 3B,Iglesias,Jose,Iglesias,Jose
84,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis
85,Randal Grichuk,545341,10243,10243,8773,*01s9c*,ARI,OF,OF,Grichuk,Randal,Grichuk,Randal
86,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack
87,Erasmo Ramirez,541640,10314,10314,8242,*02cch*,MIN,RP,RP,Ramirez,Erasmo,Ramírez,Erasmo
88,Michael Tonkin,543859,10315,10315,8541,*02oyz*,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael
89,Rafael Ortega,542364,10323,10323,8410,*022vt*,NYM,OF,OF,Ortega,Rafael,Ortega,Rafael
90,Marcell Ozuna,542303,10324,10324,8478,*01usi*,ATL,DH,1B,Ozuna,Marcell,Ozuna,Marcell
91,Enrique Hernandez,571771,10472,10472,8835,*02h98*,LAD,3B/OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,Hernández,Enrique
92,Scott Alexander,518397,10591,10591,9149,*02hi5*,COL,RP,RP,Alexander,Scott,Alexander,Scott
93,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris
94,Carlos Perez,542208,10642,10642,9035,,CHC,C,C/1B,Perez,Carlos,Pérez,Carlos
95,Rob Brantly,542963,10655,10655,8369,,MIA,C,C,Brantly,Rob,Brantly,Rob
96,Andrew Bellatti,571479,10657,10657,9041,*02hc5*,SD,RP,RP,Bellatti,Andrew,,
97,Gio Urshela,570482,10681,10681,9069,*026rz*,ATH,1B/3B,1B/3B,Urshela,Gio,Urshela,Gio
98,Jurickson Profar,595777,10815,10815,8228,*01spl*,ATL,OF,OF,Profar,Jurickson,Profar,Jurickson
99,Rangel Ravelo,592660,10839,,9233,,SEA,DH,OF,Ravelo,Rangel,Ravelo,Rangel
100,Chasen Shreve,592741,10855,10855,17698,*02hkk*,ATL,RP,RP,Shreve,Chasen,Shreve,Chasen
101,Adam Duvall,594807,10950,10950,8829,*027ow*,FA,OF,OF,Duvall,Adam,,
102,Jacob deGrom,594798,10954,10954,8784,*02hjp*,TEX,SP,SP,deGrom,Jacob,deGrom,Jacob
103,Kevin Kiermaier,595281,11038,11038,8624,*0381o*,FA,OF,OF,Kiermaier,Kevin,,
104,Vince Velasquez,592826,11189,11189,9070,*028is*,CLE,SP,SP,Velasquez,Vince,Velasquez,Vince
105,Whit Merrifield,593160,11281,11281,9365,*02hjk*,FA,2B/OF,2B/3B/ OF,Merrifield,Whit,,
106,Tyler Lyons,544928,11334,,8493,*02haz*,NYY,RP,RP,Lyons,Tyler,Lyons,Tyler
107,Jake Marisnick,545350,11339,11339,8437,*01sit*,ATL,OF,OF,Marisnick,Jake,Marisnick,Jake
108,Yasmani Grandal,518735,11368,11368,8215,*01uqq*,FA,C,C,Grandal,Yasmani,,
109,Tommy Kahnle,592454,11384,11384,8736,*02ccf*,DET,RP,RP,Kahnle,Tommy,Kahnle,Tommy
110,Jose Quintana,500779,11423,11423,8280,*025kd*,MIL,SP,SP,Quintana,Jose,Quintana,Jose
111,Gary Sanchez,596142,11442,11442,8212,*01t9q*,BAL,C,C,Sanchez,Gary,Sánchez,Gary
112,Mark Canha,592192,11445,11445,8977,*025eo*,MIL,1B/OF,1B/OF,Canha,Mark,Canha,Mark
113,Dixon Machado,553988,11472,11472,9050,*027h1*,CHC,SS,SS,Machado,Dixon,Machado,Dixon
114,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,OF,OF,Yelich,Christian,Yelich,Christian
115,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie
116,Joely Rodriguez,570257,11487,11487,9460,*03ani*,FA,RP,RP,Rodriguez,Joely,,
117,Michael A. Taylor,572191,11489,11489,8866,*02h9j*,CHW,OF,OF,Taylor,Michael A.,Taylor,Michael A.
118,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny
119,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce
120,Jose Urena,570632,11589,11589,9010,*02j6w*,NYM,RP,RP,Urena,Jose,Ureña,José
121,Yolmer Sanchez,570560,11602,11602,8846,*02i35*,LAA,2B,2B,Sanchez,Yolmer,Sánchez,Yolmer
122,Willson Contreras,575929,11609,11609,9263,*03oh0*,STL,C,C,Contreras,Willson,Contreras,Willson
123,Brandon Drury,592273,11615,11615,8931,*02hlw*,CHW,2B,1B/2B/ 3B,Drury,Brandon,Drury,Brandon
124,Heath Hembree,592390,11632,11632,8604,,SEA,RP,RP,Hembree,Heath,Hembree,Heath
125,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson
126,Elias Diaz,553869,11680,11680,9153,*03fhx*,SD,C,C,Diaz,Elias,Díaz,Elias
127,Tayron Guerrero,594027,11691,11691,9300,*026t9*,LAA,RP,RP,Guerrero,Tayron,,
128,Nick Castellanos,592206,11737,11737,8221,*01uc9*,PHI,OF,OF,Castellanos,Nick,Castellanos,Nick
129,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.
130,Luke Jackson,592426,11752,11752,8716,*025ey*,TEX,RP,RP,Jackson,Luke,Jackson,Luke
131,Drew Smyly,592767,11760,11760,8246,*025ej*,FA,RP,RP,Smyly,Drew,,
132,Hector Neris,593576,11804,11804,8860,*03h90*,ATL,RP,RP,Neris,Hector,Neris,Héctor
133,Taijuan Walker,592836,11836,11836,8418,*025dq*,PHI,SP,SP,Walker,Taijuan,Walker,Taijuan
134,Joc Pederson,592626,11899,11899,8688,*026qc*,TEX,DH,OF,Pederson,Joc,Pederson,Joc
135,Jon Berti,542932,12037,12037,10113,*02c4r*,CHC,SS/3B,SS/3B,Berti,Jon,Berti,Jon
136,Kyle Hendricks,543294,12049,12049,8841,*02bwg*,LAA,SP,SP,Hendricks,Kyle,Hendricks,Kyle
137,Scott McGough,543518,12056,12056,9130,*02btq*,ARI,RP,RP,McGough,Scott,McGough,Scott
138,Yimi Garcia,554340,12095,12095,8895,*02z0e*,TOR,RP,RP,Garcia,Yimi,García,Yimi
139,Juniel Querecuto,578570,12140,12140,9464,,STL,2B,2B,Querecuto,Juniel,,
140,Max Kepler,596146,12144,12144,9172,*01vja*,PHI,OF,OF,Kepler,Max,Kepler,Max
141,Nick Ahmed,605113,12147,12147,8833,*02br3*,TEX,SS,SS,Ahmed,Nick,Ahmed,Nick
142,Eddie Rosario,592696,12155,12155,8675,*025f7*,LAD,OF,OF,Rosario,Eddie,Rosario,Eddie
143,Austin Barnes,605131,12158,12158,9049,*02bwt*,LAD,C,C,Barnes,Austin,Barnes,Austin
144,Ben Gamel,592325,12160,12160,9197,*02hka*,HOU,OF,OF,Gamel,Ben,Gamel,Ben
145,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,2B/SS,2B/SS,Bogaerts,Xander,Bogaerts,Xander
146,Miguel Sano,593934,12164,12164,8222,*01s9d*,FA,3B,1B/3B,Sano,Miguel,,
147,Jorge Alfaro,595751,12180,12180,8715,,MIL,OF,OF,Alfaro,Jorge,Alfaro,Jorge
148,Rougned Odor,596059,12282,12282,8718,*026ly*,FA,2B,2B/OF,Odor,Rougned,,
149,Chris Bassitt,605135,12304,12304,8879,*02c2h*,TOR,SP,SP,Bassitt,Chris,Bassitt,Chris
150,Colin Rea,607067,12317,12317,9124,*02bzn*,CHC,SP,SP,Rea,Colin,Rea,Colin
151,Jacob Barnes,606930,12323,12323,9277,*02c14*,TOR,RP,RP,Barnes,Jacob,Barnes,Jacob
152,Jace Peterson,607054,12325,12325,8702,*02bqo*,FA,3B,3B,Peterson,Jace,,
153,Spencer Patton,607359,12361,12361,8915,,ATH,RP,RP,Patton,Spencer,,
154,Jason Krizan,607249,12394,12394,11461,,SF,OF,OF,Krizan,Jason,,
155,Taylor Motter,600301,12399,12399,9188,,STL,SS,SS,Motter,Taylor,,
156,Kevin Pillar,607680,12434,12434,8576,*02xi1*,TEX,OF,OF,Pillar,Kevin,Pillar,Kevin
157,Seth Lugo,607625,12447,12447,9312,*03sef*,KC,SP,SP,Lugo,Seth,Lugo,Seth
158,Curt Casali,592200,12510,12510,8847,*02bxm*,ATL,C,C,Casali,Curt,Casali,Curt
159,Kolten Wong,543939,12532,12532,8217,,FA,2B,2B,Wong,Kolten,,
160,Marcus Semien,543760,12533,12533,8602,*02bu9*,TEX,2B,2B,Semien,Marcus,Semien,Marcus
161,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,ARI,3B,3B,Suarez,Eugenio,Suárez,Eugenio
162,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor
163,Blake Treinen,595014,12572,12572,8756,*02bve*,LAD,RP,RP,Treinen,Blake,Treinen,Blake
164,Trevor Bauer,545333,12703,12703,8234,*025hm*,LAD,SP,SP,Bauer,Trevor,,
165,Adrian Houser,605288,12718,12718,9175,*02brc*,TEX,SP,SP,Houser,Adrian,Houser,Adrian
166,Nick Martinez,607259,12730,12730,8748,*02c4q*,CIN,SP,SP,Martinez,Nick,Martinez,Nick
167,Rafael Montero,606160,12760,12760,8682,*02jhl*,HOU,RP,RP,Montero,Rafael,Montero,Rafael
168,Chris Devenski,606965,12763,12763,9342,*02i31*,NYM,RP,RP,Devenski,Chris,Devenski,Chris
169,Sonny Gray,543243,12768,12768,8546,*0260v*,STL,SP,SP,Gray,Sonny,Gray,Sonny
170,Mike Clevinger,605182,12808,12808,9210,*02bsw*,CHW,RP,RP,Clevinger,Mike,Clevinger,Mike
171,Andrew Kittredge,552640,12828,12828,9706,*04ggi*,BAL,RP,RP,Kittredge,Andrew,Kittredge,Andrew
172,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George
173,Shawn Armstrong,542888,12857,12857,9123,*02c47*,TEX,RP,RP,Armstrong,Shawn,Armstrong,Shawn
174,James McCann,543510,12859,12859,8897,*02bra*,FA,C,C,McCann,James,,
175,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony
176,Matt Barnes,598264,12863,12863,8428,*0260w*,FA,RP,RP,Barnes,Matt,,
177,Andrew McKirahan,605374,12870,,8990,,MIA,RP,RP,McKirahan,Andrew,McKirahan,Andrew
178,Tyler Anderson,542881,12880,12880,9107,*026mq*,LAA,SP,SP,Anderson,Tyler,Anderson,Tyler
179,Alex Claudio,592222,12890,12890,8868,,MIL,RP,RP,Claudio,Alex,,
180,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco
181,Brandon Nimmo,607043,12927,12927,8955,*02bq2*,NYM,OF,OF,Nimmo,Brandon,Nimmo,Brandon
182,Joe Musgrove,605397,12970,12970,9248,*02bqy*,SD,SP,SP,Musgrove,Joe,Musgrove,Joe
183,Joe Ross,605452,12972,12972,9065,*02bq6*,PHI,SP,SP,Ross,Joe,Ross,Joe
184,Austin Hedges,595978,12976,12976,8431,*02brk*,CLE,C,C,Hedges,Austin,Hedges,Austin
185,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS,SS,Baez,Javier,Báez,Javier
186,Andrew Chafin,605177,12988,12988,8863,*02bqd*,DET,RP,RP,Chafin,Andrew,Chafin,Andrew
187,Anthony DeSclafani,543101,13050,13050,8786,*02but*,FA,SP,SP,DeSclafani,Anthony,,
188,Teoscar Hernandez,606192,13066,13066,9428,*02xic*,LAD,OF,OF,Hernandez,Teoscar,Hernández,Teoscar
189,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu
190,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit
191,Derek Law,571882,13133,13133,9289,*02bx6*,WSH,RP,RP,Law,Derek,Law,Derek
192,Josh Bell,605137,13145,13145,8962,*026lz*,WSH,1B,1B,Bell,Josh,Bell,Josh
193,Jorge Polanco,593871,13152,13152,8832,*02yd1*,SEA,2B,2B,Polanco,Jorge,Polanco,Jorge
194,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo
195,Orlando Arcia,606115,13185,13185,8950,*02i1q*,ATL,SS,SS,Arcia,Orlando,Arcia,Orlando
196,Michael Fulmer,605242,13218,13218,9217,*02bqj*,BOS,RP,RP,Fulmer,Michael,Fulmer,Michael
197,Ross Stripling,548389,13273,13273,9281,*02bwr*,KC,SP,SP,Stripling,Ross,Stripling,Ross
198,Jesse Hahn,534910,13287,13287,8803,,SEA,RP,RP,Hahn,Jesse,Hahn,Jesse
199,Danny Coulombe,543056,13293,13293,8921,*02hxd*,MIN,RP,RP,Coulombe,Danny,Coulombe,Danny
200,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,1B/3B,Muncy,Max,Muncy,Max
201,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,ARI,2B/3B,2B/SS/ 3B/OF,Vargas,Ildemaro,Vargas,Ildemaro
202,Jake Lamb,571875,13329,13329,8862,*02mzn*,SF,1B,1B,Lamb,Jake,Lamb,Jake
203,Omar Narvaez,553882,13338,13338,9400,*043f8*,CHW,C,C,Narvaez,Omar,Narváez,Omar
204,Luke Maile,571912,13355,13355,9143,*02n1q*,KC,C,C,Maile,Luke,Maile,Luke
205,Tyler Naquin,571980,13359,13359,9207,,CLE,OF,OF,Naquin,Tyler,Naquin,Tyler
206,Steven Matz,571927,13361,13361,8689,*02h8d*,STL,SP,SP,Matz,Steven,Matz,Steven
207,Dylan Floro,571670,13394,13394,9401,*02hhd*,ATH,RP,RP,Floro,Dylan,Floro,Dylan
208,Christian Walker,572233,13419,13419,8924,*02mw3*,HOU,1B,1B,Walker,Christian,Walker,Christian
209,Marcus Stroman,573186,13431,13431,8721,*02hg4*,NYY,SP,SP,Stroman,Marcus,Stroman,Marcus
210,Pierce Johnson,572955,13435,13435,8645,*02hdy*,ATL,RP,RP,Johnson,Pierce,Johnson,Pierce
211,Taylor Rogers,573124,13449,13449,9225,*02n3l*,CIN,RP,RP,Rogers,Taylor,Rogers,Taylor
212,Lucas Sims,608371,13470,13470,8630,*02mw7*,WSH,RP,RP,Sims,Lucas,Sims,Lucas
213,Tom Murphy,608596,13499,13499,8657,*02t8m*,SF,C,C,Murphy,Tom,Murphy,Tom
214,Jose Ramirez,608070,13510,13510,8594,*01ub6*,CLE,3B,3B,Ramirez,Jose,Ramírez,José
215,Matt Bowman,621199,13528,13528,9273,*02n53*,BAL,RP,RP,Bowman,Matt,Bowman,Matt
216,Blake Snell,605483,13543,13543,9328,*02bqr*,LAD,SP,SP,Snell,Blake,Snell,Blake
217,Steven Okert,595345,13580,13580,9290,*02myt*,HOU,RP,RP,Okert,Steven,Okert,Steven
218,Jesse Winker,608385,13590,13590,8647,*02mwg*,NYM,OF,OF,Winker,Jesse,Winker,Jesse
219,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert
220,Patrick Wisdom,621550,13602,13602,9805,*02mws*,FA,1B,1B/3B/ OF,Wisdom,Patrick,,
221,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,SS/OF,2B/SS/ OF,Betts,Mookie,Betts,Mookie
222,Ketel Marte,606466,13613,13613,9112,*0326s*,ARI,2B,2B,Marte,Ketel,Marte,Ketel
223,Carson Kelly,608348,13620,13620,9452,*02mxf*,CHC,C,C,Kelly,Carson,Kelly,Carson
224,Jeimer Candelario,600869,13621,13621,9264,*027fx*,CIN,1B/3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer
225,Corey Seager,608369,13624,13624,8668,*02mw6*,TEX,SS,SS,Seager,Corey,Seager,Corey
226,Jacob Stallings,607732,13723,13723,9384,*02j7h*,COL,C,C,Stallings,Jacob,Stallings,Jacob
227,David Dahl,621311,13744,13744,8651,,FA,OF,OF,Dahl,David,,
228,Chris Taylor,621035,13757,13757,8852,*02u47*,LAD,2B/3B/ OF,2B/3B/ OF,Taylor,Chris,Taylor,Chris
229,Chris Stratton,608717,13761,13761,9292,*02mw1*,KC,RP,RP,Stratton,Chris,Stratton,Chris
230,JT Chargois,608638,13767,13767,9221,,TEX,RP,RP,Chargois,JT,Chargois,JT
231,Travis Jankowski,608671,13768,13768,9125,*02j2v*,CHW,OF,OF,Jankowski,Travis,Jankowski,Travis
232,Rob Refsnyder,608701,13770,13770,8929,*02mzf*,BOS,OF,OF,Refsnyder,Rob,Refsnyder,Rob
233,Zach Eflin,621107,13774,13774,9379,*02mwq*,BAL,SP,SP,Eflin,Zach,Eflin,Zach
234,Alex Wood,622072,13781,13781,8506,*02mwv*,FA,SP,SP,Wood,Alex,,
235,Matt Strahm,621381,13799,13799,9205,*02nax*,PHI,RP,RP,Strahm,Matt,Strahm,Matt
236,Kevin Plawecki,608700,13807,13807,8680,,FA,C,C,Plawecki,Kevin,,
237,Matt Duffy,622110,13836,13836,8856,*02c5y*,FA,2B/3B,2B/SS/ 3B,Duffy,Matt,,
238,Joey Wendle,621563,13853,13853,9234,*02mzu*,FA,3B,3B,Wendle,Joey,,
239,Paul Sewald,623149,13892,13892,9642,*02n2x*,CLE,RP,RP,Sewald,Paul,Sewald,Paul
240,Tyler Heineman,623168,13897,13897,10691,*02n1c*,TOR,C,C,Heineman,Tyler,Heineman,Tyler
241,Brent Suter,608718,13942,13942,9436,*03cav*,CIN,RP,RP,Suter,Brent,Suter,Brent
242,Michael Wacha,608379,14078,14078,8426,*02iug*,KC,SP,SP,Wacha,Michael,Wacha,Michael
243,Kevin Gausman,592332,14107,14107,8427,*02hi7*,TOR,SP,SP,Gausman,Kevin,Gausman,Kevin
244,Albert Almora Jr.,546991,14109,14109,8639,,MIA,OF,OF,Almora Jr.,Albert,Almora Jr.,Albert
245,Lance McCullers Jr.,621121,14120,14120,8659,*026l1*,HOU,SP,SP,McCullers Jr.,Lance,McCullers Jr.,Lance
246,Joey Gallo,608336,14128,14128,8711,*02i3v*,CHW,1B,1B/OF,Gallo,Joey,,
247,Daniel Vogelbach,596129,14130,14130,8642,*02br5*,FA,DH,DH,Vogelbach,Daniel,,
248,Byron Buxton,621439,14161,14161,8674,*02i2k*,MIN,OF,OF,Buxton,Byron,Buxton,Byron
